Waterbody,State,County,Site Number,Site ID,Site Description,Site Latitude,Site Longitude,HWM Label,HWM ID,HWM Location Description,HWM Type,HWM Quality,Height Above Ground (ft),HWM Latitude,HWM Longitude,Surveyed HWM Elevation (ft)
Black River (Town of Springfield),VT,Windsor County,VTWIN31087,31087,"Black River, downstream of Depot Street bridge, Cavendish, VT",43.381375,-72.636059,VT-027-PR-430,45288,Sharpie line on mudline on right corner of basement garage of 145 Depot St,Mud,Excellent: +/- 0.05 ft,4.45,43.38146034,-72.63606431,926.53
Black River (Town of Springfield),VT,Windsor County,VTWIN31102,31102,"Black River, downstream of railroad bridge near intersection with Depot Street and Mountain View Avenue, Cavendish, VT",43.382246,-72.635455,VT-027-PR-431,45212,"White USGS HWM disc on mudline on triple trunk tree. ~80 ft L of river, ~300 ft DS of RR bridge",Mud,Excellent: +/- 0.05 ft,5.1,43.38275039,-72.63587908,926.05
Dog River,VT,Washington County,VTWAS30710,30710,"Dog River, downstream of Cox Brook Road bridge, Northfield, VT",44.172668,-72.651551,VT-023-NL-303,45160,Green HWM disc and nail in small maple tree,Vegetation line,Unknown/Historical,1.8,44.17298377,-72.65136033,647.36
Dog River,VT,Washington County,VTWAS33914,33914,"Upstream Cox Brook Rd, Dog River, Northfield VT",44.1723785,-72.65197666,VT-023-NL-304,45802,White USGS HWM disc set horizontally in tree cluster on USL bank 100 ft US of bridge and 50 ft bankward,Vegetation line,Poor: +/- 0.40 ft,0.4,44.1723785,-72.65197666,648.15
Dog River,VT,Washington County,VTWAS30726,30726,"Dog River, downstream of Slaughterhouse Road Covered Bridge, Northfield, VT",44.168761,-72.654751,VT-023-NL-305,45155,"HWM disc in birch tree at the end of foot path, 30 ft bankward of river",Debris,Unknown/Historical,0,44.16878721,-72.65464045,659.19
Dog River,VT,Washington County,VTWAS33918,33918,"Upstream Slaughterhouse Rd, Dog River, Northfield VT",44.16831609,-72.65496495,VT-023-NL-306,45801,White USGS HWM disc at the base of tree right before the large field,Seed line,Fair: +/- 0.20 ft,1.6,44.16831609,-72.65496495,660.91
Dog River,VT,Washington County,VTWAS33918,33918,"Upstream Slaughterhouse Rd, Dog River, Northfield VT",44.16831609,-72.65496495,VT-023-NL-307,45804,White USGS HWM disc in a large maple tree directly across from HWM NL-306,Vegetation line,Poor: +/- 0.40 ft,0.7,44.16829241,-72.65448177,661.45
Dog River,VT,Washington County,VTWAS30726,30726,"Dog River, downstream of Slaughterhouse Road Covered Bridge, Northfield, VT",44.168761,-72.654751,VT-023-NL-308,45164,White USGS HWM disc in large maple tree cluster,Vegetation line,Unknown/Historical,0.1,44.16877653,-72.65418394,659.77
Dog River,VT,Washington County,VTWAS33554,33554,"Off of Dogwood Glen Drive, Northfield VT",44.16030121,-72.65579987,VT-023-NL-309,45156,Green HWM disc in side of stump,Seed line,Unknown/Historical,-1.05,44.16033321,-72.65576842,669.38
Dog River,VT,Washington County,VTWAS30727,30727,"Dog River, downstream of North Main Street/Route 12 bridge, Northfield, VT",44.161647,-72.656756,VT-023-NL-310,45163,"Nail in pine tree, 20 ft DS of fire hydrant on DSL bank",Debris,Good: +/- 0.10 ft,0,44.1611732,-72.65685317,668.11
